0,Synthesizable,Material ID,Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,,,,,,,,,,,,,,
60,TRUE,mp-1271821,Fe3O4,Monoclinic,C2/c,15,28,0.02425405536,-1.618487281,FALSE,314.1400515,4.895509829,1.0229,FALSE,FALSE,FiM,27.9993934,,,,,,,,,,,,,,
61,TRUE,mp-1271978,Fe3O4,Triclinic,P1,1,28,0.02908316786,-1.613658169,FALSE,314.9201892,4.883382402,1.209,TRUE,FALSE,FiM,27.9999552,,,,,,,,,,,,,,
62,TRUE,mp-1379262,Fe3O4,Monoclinic,Pm,6,56,0.976428117,-0.6663132195,FALSE,630.0849902,4.881486574,0,FALSE,TRUE,FiM,3.7726618,,,,,,,,,,,,,,
63,TRUE,mp-18731,Fe3O4,Orthorhombic,Cmcm,63,14,0.1083030293,-1.536897003,FALSE,144.4553735,5.323013165,0.574,FALSE,FALSE,,,,,,,,,,,,,,,,
64,FALSE,mp-19306,Fe3O4,Cubic,Fd-3m,227,14,0,-1.642741336,TRUE,150.5150569,5.108710523,0,FALSE,TRUE,FM,28.0000002,,,,,,,,,,,,,,
65,FALSE,mp-31770,Fe3O4,Orthorhombic,Imma,74,14,0.01726441071,-1.625476926,FALSE,156.8470986,4.902467829,0,FALSE,TRUE,AFM,1.09E-05,,,,,,,,,,,,,,
66,FALSE,mp-505595,Fe3O4,Orthorhombic,Pbcm,57,28,0.1143556175,-1.528385719,FALSE,316.9628906,4.85191092,0,FALSE,TRUE,FiM,4,,,,,,,,,,,,,,
67,FALSE,mp-510252,Fe3O4,Orthorhombic,Pmma,51,28,0.07504739107,-1.567693945,FALSE,316.1039585,4.865094753,0.2435,FALSE,FALSE,FM,56.0003975,,,,,,,,,,,,,,
68,FALSE,mp-611817,Fe3O4,Cubic,F-43m,216,14,0.7055903943,-0.9371509421,FALSE,188.213937,4.085445888,0,FALSE,TRUE,FM,23.9997073,,,,,,,,,,,,,,
69,TRUE,mp-612405,Fe3O4,Monoclinic,Cm,8,14,0.1772956057,-1.465445731,FALSE,149.4274702,5.14589355,0.3799,FALSE,FALSE,FM,27.9999909,,,,,,,,,,,,,,
70,TRUE,mp-650112,Fe3O4,Orthorhombic,Pbcm,57,56,0.05936087018,-1.583380466,FALSE,633.120471,4.858082405,0.9257,FALSE,FALSE,FM,111.9999821,,,,,,,,,,,,,,
72,TRUE,mp-715275,Fe3O4,Orthorhombic,Pmc2_1,26,28,0.1139261407,-1.528815196,FALSE,289.6905375,5.308684651,0.3012,FALSE,FALSE,FM,55.9997696,,,,,,,,,,,,,,
73,TRUE,mp-715438,Fe3O4,Orthorhombic,Cmc2_1,36,14,0.07826593071,-1.564475406,FALSE,143.5545802,5.35641464,0.574,FALSE,FALSE,FiM,2,,,,,,,,,,,,,,
74,TRUE,mp-715558,Fe3O4,Trigonal,R-3m,166,28,0.07850628571,-1.564235051,FALSE,313.0463883,4.91261285,0.0019,FALSE,FALSE,FM,56.0000199,,,,,,,,,,,,,,
75,TRUE,mp-715614,Fe3O4,Monoclinic,C2/m,12,14,0.4682796229,-1.174461714,FALSE,151.7932582,5.065691746,1.0162,FALSE,FALSE,FiM,8,,,,,,,,,,,,,,
77,TRUE,mp-716052,Fe3O4,Orthorhombic,Pmna,53,28,0.07539167429,-1.567349662,FALSE,312.6380546,4.919029169,0.0201,FALSE,FALSE,FM,55.9999216,,,,,,,,,,,,,,
78,TRUE,mp-757565,Fe41O56,Trigonal,R3,146,97,0.08685070634,-1.56862638,FALSE,1083.478034,4.88226989,0.2954,FALSE,FALSE,FM,194.0000005,,,,,,,,,,,,,,
79,TRUE,mp-530050,Fe43O64,Monoclinic,C2,5,107,0.1162768385,-1.584191962,FALSE,1241.319435,4.582091167,0.7731,FALSE,FALSE,FM,214.0001391,,,,,,,,,,,,,,
80,TRUE,mp-1181334,Fe4O13,Orthorhombic,Immm,71,17,0.6740456252,-0.3305748038,FALSE,195.0891192,3.671708566,0,FALSE,TRUE,FiM,14.000113,,,,,,,,,,,,,,
82,FALSE,mp-1188678,Fe4O5,Orthorhombic,Cmcm,63,18,0.08958939111,-1.516846766,FALSE,189.2672323,5.323365848,0,FALSE,TRUE,FM,36.0003149,,,,,,,,,,,,,,
83,FALSE,mp-1095382,Fe5O7,Monoclinic,C2/m,12,12,0.1710168063,-1.497461358,FALSE,121.7260154,5.336882339,0,FALSE,TRUE,FM,23.9978796,,,,,,,,,,,,,,
84,TRUE,mp-1326275,Fe5O7,Orthorhombic,Cmcm,63,24,0.2134186021,-1.455059562,FALSE,289.2441371,4.49196605,1.0353,FALSE,FALSE,FM,48.0000285,,,,,,,,,,,,,,
85,TRUE,mp-1225001,Fe5O8,Trigonal,R-3m,166,13,0.1853286301,-1.453623026,FALSE,130.9352848,5.164421887,0,FALSE,TRUE,FM,13.9999858,,,,,,,,,,,,,,
86,TRUE,mp-1225007,Fe5O8,Cubic,F-43m,216,13,0.1819339401,-1.457017716,FALSE,153.7195743,4.398952142,0,FALSE,TRUE,FM,23.9999145,,,,,,,,,,,,,,
87,TRUE,mp-510746,Fe5O8,Cubic,P4_332,212,52,0.1636172564,-1.4753344,FALSE,596.8766526,4.531623395,0,FALSE,TRUE,FM,96.0065805,,,,,,,,,,,,,,
88,TRUE,mp-32939,Fe7O8,Cubic,Fm-3m,225,15,0.09913590433,-1.456473001,FALSE,163.1703406,5.280804439,0,FALSE,TRUE,FiM,17.9919214,,,,,,,,,,,,,,
89,TRUE,mp-715333,Fe7O8,Triclinic,P-1,2,30,0.064050544,-1.491558362,FALSE,331.9156012,5.192107006,1.0723,TRUE,FALSE,FM,60.0003671,,,,,,,,,,,,,,
